Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
,,,,66,1420.04505,10416.452326,3712.9747420000003,8512.516962506876,3474.4842231425605,6425.504754350568,0.0,,,
,,,,67,1484.20159,10769.758665,3840.512818,8647.588822401141,3529.6153962444982,6527.461071354368,0.0,,,
,,,,68,1631.1769369999995,11666.386690000001,4221.067859000002,9135.497843139141,3728.761219078063,6895.749527782805,0.0,,,
,,,,69,1653.084207,11858.575285,4367.118441000001,9482.265702706318,3870.298611892169,7157.500375401521,0.0,,,
,,,,70,1626.839965,11620.980697,4276.604667000001,9334.364599696171,3809.9310318617827,7045.860158442055,0.0,,,
,,,,71,1557.9441369999995,11197.663008,4125.407085,9063.839634851392,3699.513075990531,6841.659749158085,0.0,,,
,,,,72,1439.879262,10491.082284,3859.02247,8609.105656177197,3513.9080379519287,6498.41281587088,0.0,,,
,,,,73,1328.415579,9535.825771000002,3485.674948000001,7974.78097945157,3255.0009378145146,6019.6054027339205,0.0,,,
,,,,74,1231.2536759999996,8714.274624000001,3149.337095,7331.7091644314405,2992.523589989404,5534.195385579158,0.0,,,
,,,,75,1177.117395,8204.336866,2931.295438,6873.012882581967,2805.301291165247,5187.957586252792,0.0,,,
,,,,76,1151.201187,7957.678873000003,2843.8713629999997,6630.226906364069,2706.205330747809,5004.695402888128,0.0,,,
,,,,77,1151.926915,7874.160825,2808.904823000001,6497.506072290224,2652.033756570283,4904.513711139497,0.0,,,
,,,,78,1155.387777,7900.934812000001,2835.64088,6457.352409814149,2635.6445655250263,4874.20451466083,0.0,,,
,,,,79,1206.788706,8169.611040999999,2930.262597,6558.3773427669275,2676.879083733269,4950.461183499804,0.0,,,
,,,,80,1326.4079849999996,8970.735348,3241.9036760000013,6979.33904646545,2848.699569318181,5268.215784216371,0.0,,,
,,,,81,1530.6949109999994,10379.425069,3802.457079,7884.685176237725,3218.2272728436715,5951.598370918608,0.0,,,
,,,,82,1602.818417,11071.704406,4096.614850999998,8568.386698031998,3497.2881148103447,6467.676917157663,0.0,,,
,,,,83,1607.889893,11133.991625,4149.071994,8811.710360015475,3596.603538016255,6651.344961968275,0.0,,,
,,,,84,1574.3329720000006,11085.153493000002,4154.216433000001,8938.071609721052,3648.179372807815,6746.726247471142,0.0,,,
,,,,85,1527.031752,11051.595320000002,4132.612093000002,8974.40994598828,3663.011293450302,6774.155520561425,0.0,,,
,,,,86,1505.546967,10954.169522,4054.441378,8919.032445297435,3640.4083132371798,6732.3549114653915,0.0,,,
,,,,87,1485.7786,10800.723028,3959.813965,8873.166708943832,3621.6876718516414,6697.734069204533,0.0,,,
,,,,88,1466.6306949999994,10703.458483,3944.39119,8879.346264905538,3624.2099305196175,6702.39858457485,0.0,,,
,,,,89,1425.287602,10600.865445,3959.8162340000003,8861.32571267185,3616.854629531199,6688.796127796958,0.0,,,
,,,,90,1436.007802,10710.948612999999,3991.707699,8892.731732921833,3629.673367203131,6712.502339875044,0.0,,,
,,,,91,1493.170334,11160.026574,4152.158889,9079.446900284916,3705.883365501145,6853.440584213947,0.0,,,
,,,,92,1634.82804,12007.119988,4467.913979,9546.772770293675,3896.6279325385344,7206.192257167795,0.0,,,
,,,,93,1657.495814,12116.410982,4535.790736999998,9755.754224537037,3981.926178509267,7363.9377669537,0.0,,,
,,,,94,1621.819077,11820.923949,4428.824099,9560.310855611691,3902.1536617742213,7216.411212614093,0.0,,,
